username;Nickname;Likes;Followers;Bio;view_count;like_count;comment_count;save_count;engagement_rate_influencer
khaby.lame;Khabane lame;2400000000.0;162100000.0;Se vuoi ridere sei nel posto giusto😎  If u wanna laugh u r in the right place😎;29608700.0;2118800.0;35319.0;69838.0;81.76753631355932
fadiljaidi;Fadil Jaidi;303300000.0;12600000.0;Hai guys Aku akan post video sama papa diTikTok ya TIDAK di instagramku maacih❤️;3217800.0;481300.0;6651.0;12359.0;43.271574666666666
rosalia;La Rosalia;370900000.0;32600000.0;No bio yet.;421000000.0;37293700.0;169360.0;1559800.0;87.54839503105589
juandamc;JuanDa.;808400000.0;23000000.0;Subo muchas más estupideces en INSTAGRAM: juandam___ con tres guión bajo xd;30100000.0;6531300.0;23753.0;345900.0;19.226742647849463
twitchtok7;tWitch;47100000.0;5600000.0;I’m tWitch. Some kind of clever saying should go here.;63700000.0;4744000.0;117434.0;132537.0;46.134780086956525
anaraquelhz;Raquel;91000000.0;7300000.0;pues todo está muy rico bienvenidos 😜❤️😘 email:anaraquelhzl@gmail.com;8300000.0;643500.0;6218.0;66102.0;23.67336296296296
karadenizli.maceraci;KARADENİZLİ MACERACI;83500000.0;5700000.0;"🍀 Doğaya Dair Herşey; Kamp Lezzetleri 🏕Camping   YouTube: KARADENİZLİ MACERACI";47131500.0;2963572.0;9283.0;144121.0;91.33568450404992
lexibrookerivera;Lexi Rivera;667900000.0;26700000.0;Lexi Rivera;43000000.0;6397000.0;44344.0;379400.0;54.36690823529412
lexibrookerivera;Lexi Rivera;667900000.0;26700000.0;Lexi Rivera;43000000.0;6397000.0;44344.0;379400.0;54.36690823529412
hotspanishmx;HotSpanish;697900000.0;26700000.0;Síganme para videos épicos 😅 👇La Casa de Los Cuernudos 👇;107400000.0;5790200.0;89890.0;334751.0;52.50342236111111
surthycooks;Surthycooks;729200000.0;28300000.0;السلطانة تطبخ The art of cooking  🇻🇪🇱🇧;194902200.0;24404300.0;98205.0;923797.0;36.35219276041666
nicollefigueroaa;Nicolle Figueroa;999100000.0;20200000.0;Tu pelirroja fav 🧜🏻‍♀️;218700000.0;14879600.0;71581.0;560800.0;40.90727513888889
nicocaponecomedy;nicocapone.comedy;1100000000.0;27400000.0;Nicocaponepro@hotmail.com;23200000.0;1099200.0;8649.0;89862.0;100.41044839285716
williesalim;WILLIE SALIM;729500000.0;45200000.0;#BorongSeIndonesia;6807500.0;350100.0;10271.0;17213.0;21.42142681318681
luvadepedreiro;Iran Ferreira (Lai);439100000.0;25600000.0;Subscribe to my YOUTUBE CHANNEL👇🏻;21716600.0;2420600.0;25114.0;116354.0;17.251920952380953
kimberly.loaiza;Kimberly Loaiza;4900000000.0;79000000.0;MAL HOMBRE 💔👇🏻;96200000.0;7934300.0;86000.0;392000.0;52.2565
billieeilish;BILLIE EILISH;290500000.0;50900000.0;No bio yet.;69100000.0;9015000.0;83500.0;437600.0;87.74645454545454
slaterkodish;slaterkodish;50800000.0;2300000.0;Live everyday ⬇️ Full videos on Youtube  slaterkodish@underscoretalent.com;2760700.0;326000.0;811.0;22345.0;26.56756949333333
bayashi.tiktok;バヤシ🥑Bayashi;1600000000.0;53500000.0;I like cheese 🧀;442100000.0;34200600.0;168683.0;1844500.0;134.22588416666667
amroqarawe;Amro Qarawe;17200000.0;1800000.0;ضيفوني ع حسابي الانستا ؛ رح تعرفوني اكثر هناك 👌🏻❤️ Instagram : amroqarwe2;4634300.0;158416.0;1997.0;12652.0;17.165789554455447
mohm.nabeel;mohammad.nabeel;35000000.0;3400000.0;ضيفوني ع حسابي بالأنستا بنزل عليه كل شي👇🏻 instagram: mohm_nabeel;19073800.0;1007800.0;22676.0;83800.0;76.37829232283464
cedricgrolet;Cedric Grolet;141800000.0;6000000.0;Come here often? 👀  #cedricgrolet;20723200.0;2344000.0;8766.0;100856.0;31.38390151898734
charlidamelio;charli d’amelio;11500000000.0;151500000.0;if you ask me to remix below 🤍;34193600.0;1854000.0;17806.0;67350.0;25.522447958115183
dannero;Dannero;153700000.0;10500000.0;IG: Dannero Twitch: TheDannero Bestelle JETZT mein Buch!;160816900.0;18902414.0;86238.0;1191081.0;59.68411462962963
txt.bighitent;TOMORROW X TOGETHER;1000000000.0;22400000.0;🎧'The Name Chapter: FREEFALL' OUT NOW🎧;21200000.0;5518200.0;97100.0;514900.0;10.410140845070424
emillyvickof;Emilly Vick;250800000.0;16300000.0;18 Anos💖 💌emillyvickcontato@gmail.com  MINHA MÚSICA  👇🏻⭐️👇🏻⭐️👇🏻⭐️👇🏻⭐️;119575200.0;8242900.0;25951.0;262287.0;82.52918535714285
xelitobelek;xelito;66200000.0;1600000.0;📩 xelitobelek@gmail.com je fais des trucs;6600000.0;787700.0;337975.0;60100.0;37.65189492753623
seventeen17_official;SEVENTEEN;372500000.0;9700000.0;#SEVENTEEN Official TikTok #세븐틴 공식 틱톡;2126700.0;720100.0;6784.0;31867.0;47.26815305555556
amielgarciami;Amiel García;34900000.0;2600000.0;escuchen “Lágrimas” de amiel garcía 🎶 los veo en mi lnsta_gram: soyamigarcia 👀;39815700.0;2187300.0;18202.0;92071.0;54.67593328125
noelgoescrazy;noelgoescrazy;612000000.0;36000000.0;Dancer🇳🇬🇩🇪 God first Adidas ambassador 📩: noelgoescrazy@getitdone.de;583118700.0;28641600.0;114010.0;1172903.0;73.96417485507246
dylanmulvaney;Dylan Mulvaney;486200000.0;10500000.0;She/they 🌸🌷🌻 Business: stephanie.paciullo@caa.com;4456400.0;537800.0;10903.0;10816.0;6.789261282051282
ramonvitor;ramonvitor;495800000.0;12500000.0;☺︎ ramonvitorcontato@gmail.com;26500000.0;3954400.0;36128.0;113900.0;88.50001647058824
miladmirg;Milad;310000000.0;6400000.0;I Work Everywhere 📥: miladmirg@gmail.com;5469600.0;509200.0;331.0;22758.0;65.98718427139553
mmmjoemele;Joe Mele;1200000000.0;27400000.0;Do what you love :) ✉️mmmjoemele@gmail.com;10863100.0;1332900.0;9588.0;142292.0;18.9499945945946
thezachchoi;Zach Choi;342100000.0;20200000.0;🤝 business@zachchoi.com;104352000.0;2813188.0;6362.0;399403.0;49.50287592592593
thezachchoi;Zach Choi;342100000.0;20200000.0;🤝 business@zachchoi.com;104352000.0;2813188.0;6362.0;399403.0;49.50287592592593
morimura;MoriMura🍕;346900000.0;12100000.0;23 São Paulo 🐝;7233000.0;1449900.0;9214.0;103221.0;49.880425
yano4kaa.aaa;yano4kaa;204000000.0;7000000.0;19! inst: yano4kaa.a❤️‍🩹;1924700.0;326200.0;597.0;50639.0;33.32187428571429
salzabilll_;s a l z a b i l l x 🔮;247300000.0;10800000.0;disini isinya becandaan, kalo serius kerumah aja🦦;13556600.0;1012931.0;2297.0;42381.0;42.937899375
elpugaa;Puga;261200000.0;10500000.0;Negocios: PugaContactoMx@gmail.com  Mi último video de youtube 🙋🏻‍♂️♥️👇🏻👇🏻;7459200.0;963900.0;1994.0;80062.0;85.02426823529412
kukombo;H;112200000.0;5100000.0;cucumbers are superior douyin @kukombo kukombo@daripekewee.com;177001300.0;30535400.0;252022.0;1852918.0;20.62114881516588
brookemonk_;Brooke Monk;2400000000.0;30600000.0;❤️Jesus forever❤️  YouTube Brand deals: brooke@poweredby.co;154113900.0;11880816.0;74631.0;940123.0;43.92038147540983
yvesbissonsturgeonco;yves;37700000.0;1700000.0;🇨🇦 Professional Sturgeon Guide 🇨🇦 💯% Catch & Release;105426000.0;7702291.0;100445.0;271319.0;36.86426054054054
fukada0318;深田えいみ;61900000.0;5500000.0;HI！EMI FUKADA ! Please follow me 🤍 FALENO専属 YouTube、Twitterもやってるよ✌️🤍 Aime(エメ)↓;3803000.0;378100.0;4983.0;9337.0;63.21840952380953
therock;The Rock;515400000.0;73300000.0;CEO of #RockTok Life’s so much sweeter when you’re not an asshole;5310500.0;750300.0;6562.0;37281.0;92.93379227272727
elina_karimovaa;🐚Elina_리나대장님🤍;180400000.0;13300000.0;Born in🇺🇿 live in 🇰🇷 엘리나 입니다 🐚🤍 contact : soonent@soon-ent.co.kr;49245400.0;7233000.0;73204.0;236366.0;63.41059696969697
bigchungus_.tik;BigChungus;3200000.0;1200000.0;👑✨️𝙨𝙞𝙜𝙖𝙣𝙢𝙚 𝙥𝙖𝙧𝙖 𝙢𝙖𝙨 𝙫𝙞𝙙𝙚𝙤𝙨 𝙚𝙥𝙞𝙘𝙤🌍❤️;25316100.0;1505700.0;8972.0;69747.0;60.05577588235294
domelipa;domelipa;4300000000.0;70100000.0;✩Ｅｓｅｎｃｉａ 📍Mty N.L.;52700000.0;7416300.0;39117.0;265784.0;17.958489574468086
mikaylahau;Mikaylah;153200000.0;6100000.0;I’m dumb  Follow my Insta!! 🫶🏼⬇️ YouTube: Mikaylah;6409200.0;620700.0;10564.0;38782.0;30.43126940092166
mrnigelng;Nigel Ng (Uncle Roger);158000000.0;10600000.0;Not a chef, I just complain MHARV@wmeagency.com;130765700.0;17744600.0;37254.0;1452100.0;40.877544057971015
jakefresca;Fresca Fresh;106800000.0;486900.0;God 1st Umiami  Video Creator 📪 Jakefresca@yahoo.com;338274.0;43279.0;403.0;3564.0;26.08630709302325
bellaamtz;Bella;52500000.0;1000000.0;Follow💙 YouTube: Big Mad Jorge ⬇️;79911000.0;15600559.0;61178.0;568833.0;42.35404057692308
guiedits._;@guiedits_;17400.0;3108.0;bão sor;170700.0;14447.0;126.0;927.0;15.22709875
niallhoran;Niall Horan;122900000.0;6000000.0;New album ‘The Show’ out now Get tickets to The Show Live On Tour 2024;20407000.0;1033900.0;13153.0;28751.0;155.348904
shellyclouds;Shelly Clouds;72500000.0;2100000.0;🎨Create the world you want! Biz contact: shellyclouds@thestation.io;23811300.0;2606300.0;9216.0;223891.0;62.73323378854626
jayandsharon;Jay & Sharon;105500000.0;2700000.0;Jay & Sharon wey.empire@gmail;9005900.0;1101000.0;8195.0;87353.0;49.66475736526946
kane;kane;172200000.0;3200000.0;📧 mgmt@kanetru.com;50738100.0;6204853.0;56225.0;248225.0;180.2934782608696
future_millionaires;Future Millionaires;29600000.0;830400.0;Business: wallofwealth1@gmail.com;29103500.0;4917131.0;14773.0;638513.0;23.278393
kyliejenner;Kylie Jenner;1300000000.0;54700000.0;Kylie 🤍;41300000.0;5580000.0;83739.0;191600.0;21.505459347826086
rubentuestaok;Ruben Tuesta;1200000000.0;34300000.0;MISIÓN CACHETES EN CHILE 👇🇨🇱❤️;25900000.0;2289600.0;9161.0;129300.0;30.993184008438817
ferxxo444;Feid;306500000.0;12800000.0;No bio yet.;7543200.0;1333600.0;5917.0;51600.0;28.350742467532463
onwardwanna;Wanna🥊;133400000.0;8800000.0;Wanna@dulcedo.com;4275500.0;818100.0;6573.0;50253.0;19.65254975903614
montpantoja;Montpantoja;2100000000.0;38800000.0;WiLdCattt🐈‍⬛ NO LE TEMAS A NADA;33200000.0;4623100.0;7453.0;193700.0;34.01204508982036
nekoglai;Николай;481400000.0;13100000.0;Instagram👇👇👇;96400000.0;7507500.0;113000.0;415600.0;29.011907407407406
esnyrrr;Esnyr;209100000.0;6800000.0;🇵🇭 school contents ahead ⇩ 📩: gmmaranan@abs-cbn.com;53000000.0;6956400.0;89681.0;163500.0;10841.033774160733
skythedogtrainer;skythedogtrainer;10200000.0;519100.0;In-Person & Virtual Dog Training Free Training Assessments! ⬇️;21283300.0;2167490.0;2470.0;131281.0;3498.48033159948
mclomaofficiall;mclomaofficial;63800000.0;7000000.0;No bio yet.;4346912.0;647378.0;893.0;8429.0;42.97915904761905
lechilinh88;Lê Chí Linh;64599999.99999999;4000000.0;Thử Thách Tạo Kịch Bản Triệu View;3123400.0;156451.0;0.0;4345.0;41.34653647540984
pongamoslo_a_prueba;Pongámoslo a Prueba;1500000000.0;43600000.0;Aquí está todo lo que pongo a prueba;192100000.0;16699500.0;32904.0;914696.0;114.60262068965515
nianaguerrero;Niana Guerrero;890200000.0;41300000.0;dance and lifestyle creator  contactniana@gmail.com;97600000.0;12449500.0;28725.0;693300.0;245.335274458173
taulanytvofficial;Taulany TV Official;35700000.0;1400000.0;TAULANY TV PRODUCTION TIKET FESTIVAL HARI PATAH HATI NASIONAL,SOLO👇🏻;161109.0;10277.0;165.0;215.0;35.64139544117647
jaykindafunny8;Jaykindafunny;651800000.0;26100000.0;TOMA🙏🏾;76066800.0;6322100.0;27198.0;432900.0;60.16074307692308
zodiac.boyfriend;Zodiac Boyfriend;296100000.0;3100000.0;your astro bf 🪄  inquires: zbfbusiness@gmail.com;20100000.0;2387100.0;41621.0;243600.0;75.2426105
andrewlepage23;Andrew Le Page;6000000.0;245000.0;💛🏝 Season 8 Insta - andrewlepage 📧 - olivia@offlimitsentertainment.com;3766700.0;339706.0;335.0;4482.0;13.847482481203008
pandkourt;Kourtney-Penelope;109300000.0;5400000.0;Hi guys can we please please get to 6 mil Managed by an adult 💕💕;34600000.0;3492300.0;0.0;67224.0;39.886865679012345
pinkpantheress;😘🙈☺️;25200000.0;2600000.0;this is a bree runway stan account;5743000.0;868000.0;6188.0;36394.0;58.014263666666665
bellapoarch;Bella Poarch;2300000000.0;93300000.0;CRUSH OUT NOW!!!!🫶🏻💘;17400000.0;1084200.0;19738.0;36294.0;26.77967737704918
thethinktok;The•Think•Tok;11200000.0;796400.0;Escolha esse lado! 👊🏻;239800.0;15371.0;168.0;1242.0;27.50360513833992
livvyloveasmr;Livvy;43700000.0;1400000.0;Live 10/29 @ 10PM ET 🦇🎃 Michigan🏳️‍🌈 Livvyloveasmr@gmail.com;22812200.0;2151100.0;7749.0;271365.0;12.503892947658402
falcopunch;Falco;276400000.0;13800000.0;🦋BE CREATIVE🦋 🌹AquariusΨ | German | Video-Creator |🌹;37000000.0;4892400.0;18723.0;394900.0;59.674235
vibin.wit.tay;Tay;338500000.0;7600000.0;Az📍 Only account🚨  Business: sherrodlambertritr@gmail.com;114800000.0;18600200.0;113507.0;1263900.0;194.11148004987533
swagboygorringe;swagboygorringe;453900000.0;9200000.0;Hello 👋;47200000.0;6882100.0;83000.0;626500.0;273.79201169020945
sadiafza;Sadia;234500000.0;3100000.0;All about Korea 🇰🇷;10416300.0;1481700.0;10278.0;134428.0;16.082485212121213
ryanbakery;𝙍𝙮𝙖𝙣𝘽𝙖𝙠𝙚𝙧𝙮;145700000.0;4100000.0;Elyia💍 Content Creator | Malaysia;8526300.0;755400.0;18292.0;26115.0;41.85462076754386
zachking;Zach King;1100000000.0;79500000.0;Bringing a little more wonder into the world, 15 seconds at a time;-1647067296.0;50952200.0;666597.0;1704845.0;-990.18490875
docdami;Doc Dami;155700000.0;4900000.0;Best barber in the world 🔥 for haircut , follow 🖤 👇🏼 🧴 what I use;15714700.0;2399453.0;10134.0;118192.0;37.70323856733524
mdmotivator;Zachery Dereniowski;755500000.0;17200000.0;📧 zachery@onefluent.com Everything you need ⬇️;262440900.0;45519300.0;284833.0;2736317.0;607.0424276169265
cool__bad;Kuan - Aisha 🔎;82500000.0;3100000.0;Collaboration: kuan.aisha.cb@gmail.com 🫶🏻 🇰🇿 KZ;1095900.0;78977.0;301.0;3726.0;34.77610850746269
kallmekris;Kris HC;2300000000.0;50000000.0;Daily Subpar Content 🇨🇦 ⬇️YT Channel & Business⬇️  kris@a3artistsagency.com;3589400.0;690500.0;5125.0;38258.0;30.24217409090909
angelaaguilar_;Angela Aguilar :);86200000.0;11300000.0;Solo quería ser cantante.  Aprendiz. 20 años.  ;13196700.0;1007500.0;8016.0;33772.0;246.536225097556
zeejkt48;zee;61800000.0;2400000.0;@jkt48.official 🦖;20000000.0;1253000.0;7977.0;100679.0;16.151354074074074
kieram.litchfield;Kieram Litchfield;39100000.0;3600000.0;SURVIVAL DADDY🚨 First Aid🚑 Disasters🌪 Safety tips💪 DM me on Instagram💬;86803047.0;9600276.0;54308.0;960033.0;29.748927887323944
kervo.dolo;Kervo.dolo;300900000.0;10900000.0;For promos and more email kervodolo5@gmail.com;204300000.0;30900000.0;161600.0;1446800.0;2821.836385836386
winnermaxyt;WinnerMax;119500000.0;9300000.0;🔥YouTuber🔥     🔰Bienvenidos Cracks🔰 ✉️ Contacto: Contactowinnermax@gmail.com;120969000.0;7450400.0;25111.0;496210.0;159.44574636363637
olisboa;LISBOA;139700000.0;5200000.0;Me segue no ig: ogiolisboa LINK P/ INGRESSOS DOS SHOWS 2023 👇;82434600.0;10760900.0;20865.0;446568.0;34.32428752747253
imeyhou;Meyden;126200000.0;5100000.0;Joki @joki.byathena Cuman punya 2 akun satu lagi (@meydenkedua);33572100.0;3213500.0;16388.0;138924.0;4818206.0
lilireinhart;Lili Reinhart;145900000.0;6100000.0;Look, more content.;1852200.0;268700.0;1219.0;6932.0;40.73338420289855
therealemilylin;Emily Lin;13300000.0;404500.0;We have wholesome fun here 😘 📧: mgmt@suntalentagency.com;96461.0;11319.0;58.0;294.0;23.081682310469315
nourmar5;nourmar5;401400000.0;14600000.0;للاعلانات(nourmar@ar-ad.com) دبي 🇦🇪📍 ماشاءلله🌷 #جلادين  قناتي(10m);2385900.0;148000.0;12757.0;8352.0;9.076435
selenagomez;Selena Gomez;615300000.0;59500000.0;No bio yet.;135500000.0;15878900.0;83294.0;362597.0;42.1576485
itsyourchel;Chelsea Van Meijr;76700000.0;1700000.0;🇮🇩🇳🇱 chelseavanmeijr on ig @starbeofficial 's Visual & Rapper;6548600.0;927434.0;4710.0;86253.0;46.13695611111111
spencer_serafica;Xspencer;643700000.0;15400000.0;for inquiriers, email 📩: ynquire.spencerserafica@gmail.com;14800000.0;2122700.0;14637.0;178200.0;25.492837
jesusnalgas;JESUSNALGAS;146100000.0;6000000.0;Mexicano🇲🇽Insta-Jesus_nalgas Email-Jesusnalgas@whalartalent.com;14179700.0;1378000.0;7674.0;86140.0;58.07625956535048
makeup_rhk;Raghad hamza رغد حمزه;26900000.0;1100000.0;الحمدلله  🇦🇪;46412800.0;5011300.0;7621.0;728682.0;51.60379291666667
duncanyounot;Duncan Joseph;347400000.0;4700000.0;Live Laugh Love;6802400.0;1501156.0;4402.0;100918.0;29.730775
sijad_qasim;سجاد قاسم;36400000.0;2600000.0;lraq / maysan youTube/1M lnstagram/1M سنابي 👇🏼;63100000.0;2826700.0;42004.0;28701.0;8.155623320895522
lance210;Lance Stewart;792900000.0;22600000.0;Business: Lance210@undercurrent.net (856) 644-3632  Live Everyday 9PM EST;557300000.0;27040400.0;229861.0;929800.0;298.8379338095238
ivanaalawi;Ivana Alawi;65700000.0;11100000.0;🦁;84300000.0;8028000.0;40544.0;54754.0;90.33250842105264
tekotok.official;Tekotok;27100000.0;2000000.0;Makasih Bre Udah Nonton, Support Kita Cukup Like ama Komen, Gak Pake REUPLOAD;1251100.0;77565.0;394.0;3142.0;18.371580869565214
tanboykun_asli;Tanboy Kun;37100000.0;3100000.0;AKUN TIKTOK TANBOY KUN;181845900.0;12243600.0;57480.0;454680.0;84.94104482758621
tanboykun_asli;Tanboy Kun;37100000.0;3100000.0;AKUN TIKTOK TANBOY KUN;181845900.0;12243600.0;57480.0;454680.0;84.94104482758621
whatslucasup2;Lucas Peterson BMX art;29000000.0;1300000.0;👇🏼 what your looking for is here👇🏼;89398358.0;6658293.0;68078.0;566723.0;24.50828975
willsmith;Will Smith;524000000.0;73900000.0;Same kid from West Philly.;9604500.0;717300.0;157.0;21234.0;33.84771722222222
marisol.viola;marisol viola;59400000.0;1800000.0;info e collab: marisoolviola00@gmail.com;9726500.0;1659300.0;16734.0;109949.0;32.644372857142855
nicolebloomgarden;Nicole Bloomgarden;41000000.0;931300.0;New York nicolebloomgardencontact@gmail.com;25722900.0;6900000.0;49163.0;340400.0;20.853715531914894
thelondoncharles;London Charles;232200000.0;7600000.0;†  𝗅𝗈𝗇𝖽𝗈𝗇𝖼𝗁𝖺𝗋𝗅𝖾𝗌@𝗏𝗂𝗋𝖺𝗅𝗇𝖺𝗍𝗂𝗈𝗇𝗍𝖺𝗅𝖾𝗇𝗍.𝖼𝗈𝗆;7400000.0;1175900.0;10655.0;125800.0;24.56429482758621
jimmydarts;Jimmy Darts;380700000.0;12200000.0;To help change the next life👇🏽❤️;169889500.0;31509800.0;259678.0;836896.0;70.47185184210527
antourny;Antony Santos;38600000.0;5700000.0;Atacante do Manchester United;1345800.0;165456.0;1916.0;5763.0;54.2354621875
thallyssonsb;Thallysson Borges;628600000.0;12500000.0;Publi: thallysson@play9.com.br O minha benção me ajuda a bater 4.1M no insta👇;11449500.0;1747000.0;20186.0;65571.0;56.35971423076923
itsblasphemus;🗣📱itsblasphemus;28500000.0;978000.0;❤️ Follow me on Insta 📧 itsblasphemedia@gmail.com ⤵️ Check out my apps;37601601.0;6398843.0;39579.0;649005.0;60.10618230769231
yerimuaa;Yeri MUA;609600000.0;15200000.0;SÍGUEME EN INSTA: @yerimua;17000000.0;3319300.0;44300.0;145989.0;40.54248865591398
raredoodle;rare doodle;95200000.0;2500000.0;I use rough animator for my animations  ✉️: raredoodleask@gmail.com;84309200.0;16870300.0;150669.0;2367000.0;70.80490642857143
hf37777;نجٍمـ الُثـرٍيَاء 𝑯🇸🇦;16500000.0;1100000.0;🇸🇦الصفحه الذكيه🇸🇦 ♠️للدعم الذكي♠️ 😉مستمر على المقاطع😉  💻🖥💻 رابط سنابي👇;23000000.0;187100.0;8119.0;146700.0;47.66064253333333
tifannylm;⚡️TEF;280400000.0;10000000.0;Contacto: steff@meru12.com;28600000.0;3778400.0;10748.0;134445.0;36.09862657142857
freyajkt48;Freya JKT48;18000000.0;1800000.0;JKT48 Member. 17 Business Inquiries: 0821-1434-5576 (Gigi - ICE);15010600.0;181300.0;3385.0;15019.0;12.515490980392157
theofficecurrently;The Office Currently;6200000.0;304400.0;Originally edited clips of The Office to current day situations & trends;6558200.0;573371.0;2262.0;31222.0;21.28422928571429
keniaos;KeniaOs;747000000.0;19800000.0;Founder K Os Beauty 🤍.;20400000.0;3408000.0;36203.0;135600.0;18.11432976470588
ali.klose11;علي كلوزه;63300000.0;3200000.0;ممثل افلام قصيره 📽 ( زعيم محتوى العالم ) 🥷🏻 للاعلانات التجاريه 👇🏻;45018100.0;2869500.0;73264.0;196811.0;69.680109375
alexwaarren;Alex warren;957900000.0;15800000.0;PRE SAVE YARD SALE!! 11/10;22300000.0;3228700.0;6081.0;167500.0;45.64614200892857
bilalahy;Bilal Ahmed;435700000.0;5000000.0;TikTok Growth | Mindset 📧: bilalahy@tiddle.io ⬇️Apply to work with me⬇️;6262893.0;622612.0;3989.0;53700.0;25.403430333333333
ferchugimenez;Fernanda;497900000.0;8700000.0;🇺🇾 sasha.mixon@thedigitalbrandarchitects.com;41600000.0;6876400.0;8607.0;184120.0;39.81426569230769
the.sign.guy;Austin Mollno;335000000.0;9300000.0;Business: info@rowsignsandgraphics.com ⬇️ORDER CUSTOM SIGNS⬇️;212469500.0;28411500.0;75970.0;1231110.0;57.21484565217391
therealhammytv;TheRealHammyTV;492100000.0;16300000.0;We are the only couple you need to follow on TIKTOK😁;75880600.0;2811860.0;39319.0;153511.0;60.686715
bu3qeel;abu aqeel 🙆🏻‍♀️ | لانا;15700000.0;1400000.0;💙 الحمدلله كود خصم شي ان : LA23;18910000.0;819200.0;10983.0;117199.0;32.307438181818185
attahalilintar;Atta Halilintar;472100000.0;16500000.0;Papata nya Ameena;100641500.0;7903488.0;73889.0;194539.0;23.99781907990315
thekapelariz;The Kapelariz;77200000.0;3500000.0;hi <3 check out our Instagram 💌: Thekapelariz@gl-management.net;96019300.0;13202327.0;114812.0;652382.0;28.452265755395683
zusjeofficial;ZUSJE;88900000.0;9200000.0;Everything what you’re looking for. 👇🏼;152804300.0;11933800.0;48112.0;251945.0;4116.2401340482575
jaxwritessongs;Jax;242500000.0;13900000.0;i write songs and tell dad jokes. 🤓;243946900.0;33593700.0;307825.0;1639079.0;56.134543050847455
luismariz;Luis Mariz;322000000.0;13200000.0;Ator & Diretor  Theo Ribeiro em @sintonia | Netflix  luismariz@wupper.com.br;3908600.0;780000.0;7577.0;37986.0;49.927695
pablitocastilloo;pablitocastilloo;227100000.0;7900000.0;Subo contenido todos los días en insta ✨;4838600.0;486876.0;5729.0;20602.0;37.27768446236559
jvke;JVKE;185600000.0;11800000.0;↓;36741700.0;5087700.0;24236.0;297607.0;51.13462569620253
jombospice;JOMBOSPICE;214900000.0;10900000.0;No reaction  Jombospicebiz@gmail.com;2739000.0;241900.0;2184.0;13869.0;16.14524735729387
julieevlorentzen;julie;493000000.0;5100000.0;my prince charming is a princess👩🏻‍🤝‍👩🏼 post@camillalor.no;47628500.0;7481600.0;11084.0;326899.0;30.941949130434782
adamw;Adam W;420600000.0;19400000.0;Adam Waheed Contact: Adamwmgmt@gmail.com;3720600.0;429200.0;2251.0;18688.0;15.305533157894736
garett__nolan;Garett Nolan;417000000.0;13700000.0;Happiness is nothing unless shared  改善;27778200.0;5040700.0;19437.0;412102.0;30.524940681818183
ayesebastien;Sebastien;541600000.0;10300000.0;ayeeee 🇭🇹 🇨🇱  miami sebastienandradebiz@gmail.com SNAP: ayesebbysebs;7624000.0;1643000.0;2041.0;42956.0;78.11903129032258
